                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.91211,                0.63247,                 1.1266,                0.96727,                0.94029,                0.96584,                0.69833,                 1.1248,                0.54809,                 1.2275,             0.00053225,             0.00053225,             0.00053225
                     61,                0.91925,                0.63388,                 1.1254,                0.97263,                0.93849,                0.97304,                0.70888,                 1.1037,                0.53587,                 1.2378,             0.00051988,             0.00051988,             0.00051988
                     62,                0.90921,                0.61803,                 1.1201,                 0.9692,                0.93232,                0.96918,                 0.7015,                 1.1179,                0.54116,                 1.2346,              0.0005075,              0.0005075,              0.0005075
                     63,                0.90192,                0.60997,                 1.1146,                  0.955,                0.94666,                0.96908,                 0.7116,                 1.1175,                0.53291,                 1.2588,             0.00049513,             0.00049513,             0.00049513
                     64,                0.90291,                0.61093,                  1.112,                 0.9785,                0.94309,                0.97322,                0.70292,                 1.1206,                0.52781,                 1.2361,             0.00048275,             0.00048275,             0.00048275
                     65,                0.89815,                0.60991,                 1.1103,                0.96495,                0.93595,                0.97133,                0.72178,                  1.101,                  0.521,                 1.2317,             0.00047038,             0.00047038,             0.00047038
                     66,                0.89769,                0.60758,                 1.1088,                0.96336,                0.94854,                0.97047,                 0.7291,                 1.0622,                0.53599,                 1.2222,               0.000458,               0.000458,               0.000458
                     67,                0.89642,                0.60083,                 1.1074,                0.95771,                0.94766,                0.97439,                0.71234,                 1.1178,                0.53152,                 1.2449,             0.00044563,             0.00044563,             0.00044563
                     68,                0.87771,                0.59896,                 1.1057,                0.97087,                0.94121,                 0.9706,                0.71411,                 1.1222,                0.53131,                 1.2303,             0.00043325,             0.00043325,             0.00043325
                     69,                0.87159,                0.58471,                 1.0974,                0.96784,                0.94255,                0.97627,                0.73447,                 1.0673,                0.51333,                 1.2136,             0.00042087,             0.00042087,             0.00042087
                     70,                0.87441,                0.59068,                 1.1009,                0.96375,                0.94322,                0.97069,                0.72446,                 1.0706,                0.52102,                 1.2252,              0.0004085,              0.0004085,              0.0004085
                     71,                0.86972,                0.58755,                 1.0985,                0.96663,                0.94458,                0.97455,                0.73905,                 1.0662,                0.51131,                 1.2241,             0.00039613,             0.00039613,             0.00039613
                     72,                0.86285,                0.58383,                 1.0926,                0.95466,                0.94227,                0.97339,                0.71885,                 1.0943,                0.51993,                 1.2318,             0.00038375,             0.00038375,             0.00038375
                     73,                0.86001,                 0.5749,                 1.0885,                0.95772,                0.94452,                0.97136,                0.72455,                  1.062,                0.50799,                 1.2183,             0.00037138,             0.00037138,             0.00037138
                     74,                 0.8511,                0.57258,                  1.088,                0.97579,                0.94679,                0.97342,                0.72693,                 1.0817,                0.50673,                 1.2252,               0.000359,               0.000359,               0.000359
                     75,                0.83849,                0.56232,                  1.083,                0.98557,                0.94318,                0.97569,                0.71257,                 1.1187,                0.50821,                 1.2348,             0.00034663,             0.00034663,             0.00034663
                     76,                0.84416,                0.56539,                 1.0927,                0.98298,                 0.9524,                0.97537,                 0.7201,                 1.0861,                0.50225,                 1.2229,             0.00033425,             0.00033425,             0.00033425
                     77,                0.83462,                0.55843,                 1.0771,                0.96738,                0.96028,                0.97752,                0.72066,                 1.1005,                0.51096,                 1.2312,             0.00032188,             0.00032188,             0.00032188
                     78,                0.84005,                0.56017,                 1.0776,                0.96997,                 0.9592,                0.97537,                0.72522,                  1.091,                 0.5095,                 1.2244,              0.0003095,              0.0003095,              0.0003095
                     79,                0.79773,                0.53502,                 1.0624,                0.96546,                0.96559,                0.97753,                0.74256,                 1.0402,                0.49512,                 1.2138,             0.00029713,             0.00029713,             0.00029713
                     80,                0.79335,                0.53196,                 1.0587,                0.98103,                0.95126,                0.97813,                0.72518,                 1.0969,                0.50535,                 1.2328,             0.00028475,             0.00028475,             0.00028475
                     81,                 0.7965,                0.53597,                 1.0595,                0.98476,                0.94159,                0.97797,                0.73538,                 1.0754,                0.49795,                 1.2307,             0.00027237,             0.00027237,             0.00027237
                     82,                0.77723,                0.52447,                  1.055,                0.96209,                0.95717,                0.97616,                0.72528,                 1.0924,                 0.5016,                  1.241,                0.00026,                0.00026,                0.00026
                     83,                0.78503,                0.53047,                 1.0546,                 0.9727,                0.96153,                0.97577,                0.73464,                 1.0596,                0.50062,                 1.2152,             0.00024762,             0.00024762,             0.00024762
                     84,                 0.7826,                0.52169,                 1.0579,                0.97443,                0.94358,                0.97627,                0.74403,                 1.0431,                0.49728,                 1.2168,             0.00023525,             0.00023525,             0.00023525
                     85,                0.79037,                0.52331,                 1.0553,                0.97639,                0.94577,                0.97617,                0.73991,                 1.0589,                0.49216,                 1.2278,             0.00022288,             0.00022288,             0.00022288
                     86,                0.76577,                0.51358,                 1.0515,                0.97422,                0.94273,                 0.9752,                0.73507,                 1.0734,                0.49826,                 1.2311,              0.0002105,              0.0002105,              0.0002105
                     87,                0.77087,                0.51735,                 1.0527,                0.97359,                0.95629,                 0.9753,                0.73055,                 1.0742,                0.49768,                 1.2333,             0.00019813,             0.00019813,             0.00019813
                     88,                0.75835,                0.50674,                 1.0462,                0.97469,                0.94881,                0.97417,                0.73441,                 1.0587,                0.49706,                 1.2219,             0.00018575,             0.00018575,             0.00018575
                     89,                 0.7528,                0.49922,                 1.0418,                0.97225,                0.95108,                0.97571,                0.74281,                 1.0505,                0.49484,                 1.2254,             0.00017338,             0.00017338,             0.00017338
                     90,                0.75639,                0.50112,                 1.0401,                0.97374,                0.95109,                0.97569,                0.74647,                 1.0373,                0.49447,                 1.2144,               0.000161,               0.000161,               0.000161
                     91,                 0.7197,                0.39763,                 1.0024,                0.97338,                 0.9443,                0.97472,                0.73581,                 1.0504,                0.49004,                 1.2243,             0.00014862,             0.00014862,             0.00014862
                     92,                 0.6926,                0.38395,                0.99001,                0.97591,                0.94939,                0.97614,                0.73509,                 1.0655,                0.49045,                 1.2328,             0.00013625,             0.00013625,             0.00013625
                     93,                0.68899,                0.37893,                0.98822,                 0.9783,                0.94948,                 0.9761,                 0.7379,                 1.0549,                0.48925,                 1.2257,             0.00012387,             0.00012387,             0.00012387
                     94,                 0.6826,                0.37546,                0.98038,                0.97128,                0.95093,                0.97342,                0.73986,                 1.0452,                 0.4919,                 1.2235,              0.0001115,              0.0001115,              0.0001115
                     95,                 0.6729,                0.37011,                0.97672,                0.96827,                0.94831,                0.97403,                0.74004,                 1.0566,                0.48324,                 1.2365,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     96,                0.67233,                0.37123,                0.97702,                0.97413,                0.94513,                0.97522,                0.74526,                 1.0402,                0.48493,                 1.2299,              8.675e-05,              8.675e-05,              8.675e-05
                     97,                0.65523,                0.36045,                0.97075,                0.97525,                0.94349,                0.97476,                0.74781,                 1.0387,                 0.4817,                 1.2285,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     98,                0.65545,                0.35676,                0.97153,                0.97794,                 0.9409,                0.97498,                0.74345,                 1.0457,                0.47688,                  1.237,                6.2e-05,                6.2e-05,                6.2e-05
                     99,                0.65805,                0.36081,                0.97104,                 0.9689,                0.94929,                0.97329,                0.74527,                 1.0424,                0.47838,                 1.2278,             4.9625e-05,             4.9625e-05,             4.9625e-05
                    100,                0.65103,                0.35719,                0.96672,                0.97517,                0.94335,                0.97285,                0.74493,                  1.038,                0.47873,                 1.2266,              3.725e-05,              3.725e-05,              3.725e-05
